flavour_id,name,description,generation_date,batch_number
1,Vanilla,"A sweet, creamy flavor derived from vanilla beans",5/5/24,1
2,Chocolate,"A rich, bittersweet flavor made from cacao",5/5/24,1
3,Strawberry,A sweet and tangy flavor made from ripe strawberries,5/5/24,1
4,Mint,"A refreshing, cool flavor often associated with mint leaves",5/5/24,1
5,Lemon,"A tart, citrusy flavor derived from lemon fruit",5/5/24,1
6,Blueberry,A sweet and slightly tart flavor from blueberries,5/5/24,1
7,Coffee,"A strong, bitter flavor derived from roasted coffee beans",5/5/24,1
8,Caramel,"A rich, sweet flavor created from caramelized sugar",5/5/24,1
9,Pineapple,"A tropical, sweet-tart flavor from the pineapple fruit",5/5/24,1
10,Coconut,"A sweet, nutty flavor derived from coconut",5/5/24,1
11,Peach,A sweet and juicy flavor from ripe peaches,5/5/24,1
12,Raspberry,A tangy and sweet flavor from fresh raspberries,5/5/24,1
13,Apple,A sweet and crisp flavor from apples,5/5/24,1
14,Banana,"A sweet, smooth flavor from ripe bananas",5/5/24,1
15,Mango,"A tropical, sweet and slightly tangy flavor from mango",5/5/24,1
16,Cherry,A sweet and slightly tart flavor from cherries,5/5/24,1
17,Watermelon,"A refreshing, juicy flavor from watermelon",5/5/24,1
18,Lime,A tangy and slightly bitter flavor from limes,5/5/24,1
19,Orange,A sweet and tangy citrus flavor from oranges,5/5/24,1
20,Grape,A sweet flavor from grapes,5/5/24,1
21,Hazelnut,"A nutty, slightly sweet flavor from hazelnuts",5/5/24,1
22,Almond,"A nutty, slightly sweet flavor from almonds",5/5/24,1
23,Pistachio,A nutty flavor with a mild sweetness from pistachios,5/5/24,1
24,Cinnamon,"A warm, spicy-sweet flavor from cinnamon bark",5/5/24,1
25,Nutmeg,"A warm, slightly sweet and spicy flavor from nutmeg seeds",5/5/24,1
26,Ginger,"A spicy, aromatic flavor with a hint of sweetness from ginger root",5/5/24,1
27,Maple,"A sweet, caramelized flavor from maple syrup",5/5/24,1
28,Butterscotch,"A rich, sweet flavor made from butter and brown sugar",5/5/24,1
29,Peanut Butter,"A creamy, nutty flavor from peanuts",5/5/24,1
30,Coconut Cream,"A rich, creamy flavor made from coconut milk",5/5/24,1
31,Lavender,"A fragrant, floral flavor from lavender flowers",5/5/24,1
32,Rose,"A floral, slightly sweet flavor from rose petals",5/5/24,1
33,Jasmine,"A sweet, fragrant floral flavor from jasmine flowers",5/5/24,1
34,Lemonade,"A refreshing, tangy-sweet citrus flavor from lemons",5/5/24,1
35,Green Tea,"A subtle, slightly bitter flavor from green tea leaves",5/5/24,1
36,Black Tea,"A strong, slightly bitter flavor from black tea leaves",5/5/24,1
37,Chamomile,"A mild, floral flavor from chamomile flowers",5/5/24,1
38,Lychee,"A sweet, fragrant tropical fruit flavor",5/5/24,1
39,Passion Fruit,A tangy and sweet tropical flavor from passion fruit,5/5/24,1
40,Tangerine,"A sweet, citrus flavor from tangerines",5/5/24,1
41,Apricot,A sweet and tangy flavor from apricots,5/5/24,1
42,Kiwi,"A tangy, slightly sweet flavor from kiwis",5/5/24,1
43,Papaya,"A tropical, sweet flavor from papaya fruit",5/5/24,1
44,Fig,"A sweet, slightly earthy flavor from figs",5/5/24,1
45,Plum,A sweet-tart flavor from plums,5/5/24,1
46,Cranberry,"A tart, slightly sweet flavor from cranberries",5/5/24,1
47,Blackberry,A sweet and slightly tart flavor from blackberries,5/5/24,1
48,Cantaloupe,"A sweet, melony flavor from cantaloupe",5/5/24,1
49,Honeydew,A sweet and slightly floral flavor from honeydew melon,5/5/24,1
50,Cucumber,"A cool, crisp flavor from cucumber",5/5/24,1
51,Carrot,"A sweet, earthy flavor from carrots",5/5/24,1
52,Sweet Potato,"A sweet, starchy flavor from sweet potatoes",5/5/24,1
53,Pumpkin,"A rich, sweet flavor from pumpkin",5/5/24,1
54,Zucchini,"A mild, slightly sweet flavor from zucchini",5/5/24,1
55,Tomato,"A juicy, slightly tangy flavor from tomatoes",5/5/24,1
56,Beetroot,"A sweet, earthy flavor from beets",5/5/24,1
57,Spinach,"A mild, slightly bitter flavor from spinach",5/5/24,1
